"","logistic_regression__Not_Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_no_method","xgboost__Not_Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_no_method","xgboost__Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_no_method","random_forest__Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_no_method","random_forest__Not_Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_no_method","random_forest__Not_Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_random_oversampling","random_forest__Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_random_oversampling","xgboost__Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_random_oversampling","xgboost__Not_Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_random_oversampling","logistic_regression__Not_Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_random_oversampling","logistic_regression__Not_Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_random_undersampling","xgboost__Not_Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_random_undersampling","xgboost__Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_random_undersampling","random_forest__Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_random_undersampling","random_forest__Not_Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_random_undersampling","logistic_regression__Not_Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_no_method","xgboost__Not_Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_no_method","xgboost__Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_no_method","random_forest__Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_no_method","random_forest__Not_Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_no_method","logistic_regression__Not_Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_random_oversampling","xgboost__Not_Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_random_oversampling","xgboost__Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_random_oversampling","random_forest__Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_random_oversampling","random_forest__Not_Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_random_oversampling","random_forest__Not_Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_random_undersampling","random_forest__Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_random_undersampling","xgboost__Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_random_undersampling","xgboost__Not_Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_random_undersampling","logistic_regression__Not_Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_random_undersampling"
"auc",0.860557223567395,0.851573849878936,0.861147376916868,0.852830347054076,0.845572881355932,0.845652300242131,0.829436642453591,0.843790153349477,0.854449071832123,0.860557223567394,0.859325262308313,0.848758030669897,0.858609200968523,0.844463599677159,0.844419693301049,0.863102502017757,0.852907183212266,0.860532687651332,0.855083131557708,0.846619531880549,0.862667312348671,0.852295076674737,0.840694108151736,0.826393543179983,0.846609846650525,0.846285714285715,0.848903309120259,0.857640677966101,0.847458918482645,0.861689749798223
"accuracy_test",0.833,0.829,0.8255,0.8275,0.8325,0.7995,0.8075,0.808,0.8055,0.787,0.787,0.793,0.797,0.7905,0.792,0.836,0.832,0.8255,0.827,0.8315,0.791,0.8025,0.807,0.8,0.805,0.7945,0.7975,0.8095,0.793,0.7885
"accuracy_train",0.82275,0.843875,0.819875,0.82925,0.86025,0.881608403650766,1,0.944119166523162,0.832529705527811,0.794644394696057,0.795485636114911,0.839717282261742,0.800501595987232,0.864797081623347,0.86593707250342,0.823625,0.847375,0.819875,0.827375,0.8605,0.795763733425176,0.836232133631824,0.948510418460479,1,0.881780609609092,0.863429092567259,0.813497492020064,0.802097583219334,0.841769265845873,0.795257637938896
"precision",0.744245524296675,0.712296983758701,0.760355029585799,0.722772277227723,0.728365384615385,0.587078651685393,0.637795275590551,0.620102214650767,0.598265895953757,0.563380281690141,0.564036222509702,0.576976421636616,0.581395348837209,0.572207084468665,0.574759945130315,0.748110831234257,0.72027972027972,0.758823529411765,0.728900255754476,0.731527093596059,0.569752281616688,0.593123209169054,0.622574955908289,0.62278978388998,0.595744680851064,0.578729281767956,0.580645161290323,0.606194690265487,0.578059071729958,0.566753926701571
"recall",0.554285714285714,0.584761904761905,0.48952380952381,0.556190476190476,0.577142857142857,0.796190476190476,0.617142857142857,0.693333333333333,0.788571428571429,0.838095238095238,0.83047619047619,0.792380952380952,0.80952380952381,0.8,0.798095238095238,0.565714285714286,0.588571428571429,0.491428571428571,0.542857142857143,0.565714285714286,0.832380952380952,0.788571428571429,0.672380952380952,0.603809523809524,0.8,0.798095238095238,0.822857142857143,0.782857142857143,0.782857142857143,0.824761904761905
"f1_score",0.635371179039301,0.642259414225942,0.595596755504056,0.628632938643703,0.643995749202976,0.675828617623282,0.62729912875121,0.654676258992806,0.680361544782252,0.673813169984686,0.671802773497689,0.667736757624398,0.676751592356688,0.667196187450357,0.668261562998405,0.644251626898048,0.647798742138365,0.596531791907514,0.622270742358079,0.638023630504834,0.676470588235294,0.677023712183156,0.646520146520147,0.613152804642166,0.682926829268293,0.67093674939952,0.680851063829787,0.683291770573566,0.66504854368932,0.671838634600465
"AUC_male_majority_nondisabled",0.799450717119316,0.769087580103752,0.795117485505035,0.790580815786797,0.78372495168345,0.78372495168345,0.770206489675517,0.791557318685789,0.7872647746923,0.798962465669818,0.799593123792085,0.781426101108738,0.794893703590683,0.777804902858307,0.778761061946903,0.799328654256941,0.777957481436274,0.797579086562913,0.778049028583054,0.765456209948123,0.799104872342589,0.795341267419386,0.794364764520395,0.767104058590174,0.775699318482352,0.766880276675822,0.788739700945987,0.796938256535449,0.768568812938662,0.799328654256941
"AUC_male_majority_disabled",0.835416666666667,0.804166666666667,0.833333333333333,0.802083333333334,0.795833333333334,0.804166666666667,0.770833333333333,0.785416666666667,0.802083333333334,0.833333333333334,0.83125,0.802083333333334,0.832291666666667,0.777083333333334,0.775,0.829166666666667,0.79375,0.835416666666667,0.804166666666667,0.79375,0.829166666666667,0.816666666666667,0.791666666666667,0.771875,0.795833333333334,0.775,0.766666666666667,0.810416666666667,0.808333333333333,0.835416666666667
"AUC_male_minority_nondisabled",0.772604252968792,0.76371168185584,0.769014084507042,0.756089478044739,0.741010770505386,0.754598177299089,0.711378072355704,0.762717481358741,0.775918254625793,0.772217619442142,0.774261253797294,0.751726042529688,0.768489367578017,0.745650372825187,0.744131455399062,0.768737917702291,0.753742060204362,0.763297431648716,0.757663628831814,0.740458436895885,0.768958851146092,0.76012151339409,0.73800055233361,0.691024578845623,0.741535487434412,0.740458436895886,0.762993648163491,0.762413697873515,0.73844241922121,0.769345484672742
"AUC_male_minority_disabled",0.907246376811594,0.92463768115942,0.92463768115942,0.898550724637681,0.927536231884058,0.904347826086957,0.901449275362319,0.936231884057971,0.921739130434783,0.904347826086957,0.901449275362319,0.889855072463768,0.897101449275362,0.897101449275362,0.894202898550725,0.91304347826087,0.936231884057971,0.926086956521739,0.914492753623188,0.918840579710145,0.904347826086957,0.91304347826087,0.92463768115942,0.895652173913044,0.907246376811594,0.901449275362319,0.853623188405797,0.888405797101449,0.901449275362319,0.898550724637681
"AUC_female_majority_nondisabled",0.869247393846937,0.869485761505211,0.87549262649377,0.857646834477498,0.850758009153317,0.85332443427409,0.834572845156368,0.85063882532418,0.866593567251461,0.869914823290109,0.865910246631071,0.861349478769389,0.870780892448513,0.849590007627765,0.84833460462751,0.87512712941775,0.8705107424358,0.872457411645055,0.869239448258327,0.861341533180778,0.874904652936692,0.864011250953471,0.850527587083651,0.8417636028477,0.863598080345791,0.86073766844648,0.859585558098143,0.87070938215103,0.860793287566744,0.872775235189424
"AUC_female_majority_disabled",0.825,0.827777777777778,0.845833333333333,0.794444444444444,0.808333333333333,0.791666666666667,0.791666666666667,0.744444444444444,0.841666666666667,0.819444444444445,0.816666666666667,0.791666666666667,0.808333333333333,0.809722222222222,0.806944444444444,0.833333333333333,0.797222222222222,0.856944444444444,0.8,0.781944444444445,0.827777777777778,0.825,0.75,0.743055555555555,0.788888888888889,0.806944444444444,0.727777777777778,0.802777777777778,0.791666666666667,0.827777777777778
"AUC_female_minority_nondisabled",0.83183023872679,0.823496905393458,0.830636604774536,0.832449160035367,0.824513704686119,0.806697612732096,0.802475685234306,0.814014146772768,0.823054818744474,0.832316534040672,0.831255526083113,0.813505747126437,0.816511936339523,0.829575596816976,0.829664014146773,0.839124668435015,0.824756852343059,0.835013262599469,0.836759504862953,0.832559681697613,0.838505747126438,0.819562334217507,0.805393457117595,0.801105216622458,0.811803713527851,0.838395225464192,0.821043324491601,0.816644562334218,0.824977895667551,0.835853227232538
"AUC_female_minority_disabled",0.733333333333333,0.670833333333333,0.7125,0.727083333333333,0.704166666666667,0.647916666666667,0.660416666666667,0.629166666666667,0.6625,0.7375,0.7375,0.704166666666667,0.697916666666667,0.716666666666667,0.720833333333333,0.7375,0.695833333333333,0.675,0.670833333333333,0.714583333333333,0.733333333333333,0.604166666666667,0.666666666666667,0.63125,0.6875,0.741666666666667,0.68125,0.65,0.7,0.741666666666667
"proportion_favorable_benchmark_test",0.8045,0.7845,0.831,0.798,0.792,0.644,0.746,0.7065,0.654,0.6095,0.6135,0.6395,0.6345,0.633,0.6355,0.8015,0.7855,0.83,0.8045,0.797,0.6165,0.651,0.7165,0.7455,0.6475,0.638,0.628,0.661,0.6445,0.618
