"","gender","ethnicity","disability","education","income","house_ownership","new_var","new_var2","new_var3","new_var4","crime"
"1","Male","Majority","No","High School",NA,NA,0,-0.352957211715808,0,-16.6696982186869,1
"2","Male","Majority","No","High School",NA,NA,1,0.659493884898239,0,-19.7976813763983,0
"3","Male","Majority","No",NA,NA,NA,1,0.365230864398735,1,-20.5300242438001,0
"4","Female","Minority","No","High School",NA,NA,0,-1.50403957943334,0,-6.76582937993382,1
"5","Female","Majority","No","High School",NA,NA,0,-0.786428516580583,1,-23.166945755943,1
"6","Male","Majority","No","No High School",NA,NA,0,-0.218017850787381,1,-16.6670513421065,1
"7","Male","Majority","No","No High School",NA,NA,1,0.282631724075685,1,-26.8301745526116,0
"8","Female","Majority","No","Some College",NA,NA,1,0.114553751352759,0,-23.0417919510833,0
"9","Female","Majority","No","Bachelor's",NA,NA,1,1.31478244980882,0,-25.5402330156488,0
"10","Male","Majority","No","Some College",NA,NA,1,1.05853581596725,0,-22.9643820000469,0
"11","Male","Majority","No","No High School",NA,NA,0,-0.524017536409339,1,-18.0744018663343,0
"12","Male","Minority","No","High School",NA,NA,1,0.63486577196506,1,-29.0499704034978,0
"13","Male","Minority","No","No High School",NA,NA,1,0.0474101759766533,1,-25.9660597140469,0
"14","Male","Majority","No","High School",NA,NA,1,1.18011762720525,1,-39.6361182875021,0
"15","Male","Majority","No","High School",NA,NA,0,-0.401092633484356,0,-16.3889532018298,0
"16","Female","Majority","No","No High School",NA,NA,1,0.176611427011406,1,-18.1416479081117,0
"17","Male","Minority","No","No High School",NA,NA,1,0.420995652611342,1,-27.3289311904938,0
"18","Male","Majority","No","High School",NA,NA,1,0.499115281521569,0,-29.6071595862806,0
"19","Female","Majority","No","Bachelor's",NA,NA,1,1.98135021144028,1,-33.519952918044,0
"20","Male","Majority","No","High School",NA,NA,1,1.10771714066808,0,-23.6352450576248,0
"21","Male","Minority","No","No High School",NA,NA,0,-0.745016563801182,0,-17.9729723349128,0
"22","Male","Minority","No",NA,NA,NA,0,-1.33978808982936,0,-9.642846603192,1
"23","Male","Majority","No","High School",NA,NA,0,-0.40612015219653,0,-19.2462678849343,1
"24","Male","Majority","No","Some College",NA,NA,1,0.870290176071462,0,-23.7147607672109,0
"25","Female","Minority","No","High School",NA,NA,0,-0.850608407948906,0,-14.4570615434361,1
"26","Female","Minority","No","Some College",NA,NA,1,0.160624589271942,0,-32.0692997324338,0
"27","Male","Minority","No","High School",NA,NA,0,-0.26211805819123,1,-21.569854812565,0
"28","Female","Minority","No","High School",NA,NA,0,-0.975913897778086,1,-22.0259628135976,1
"29","Female","Minority","No","Some College",NA,NA,1,0.348306104891375,0,-23.4886242587629,0
"30","Female","Majority","No","Bachelor's",NA,NA,1,0.32415605709309,1,-27.6447279235502,0
"31","Female","Minority","No","No High School",NA,NA,0,-1.49697161114008,1,-17.866349716855,1
"32","Male","Minority","No","Some College",NA,NA,1,0.101971620565644,0,-17.026567479225,1
"33","Female","Majority","No","High School",NA,NA,0,-1.40409666933839,1,-15.2320653403678,0
"34","Male","Majority","No","High School",NA,NA,1,0.52617458525861,1,-25.3011972059293,1
"35","Female","Minority","No","No High School",NA,NA,0,-1.1400054938123,1,-17.3141391655967,1
"36","Female","Minority","No","High School",NA,NA,1,0.130406533646457,1,-24.3888545053399,0
"37","Female","Majority","No","Master's",NA,NA,1,1.71071282722973,1,-32.7589260067445,0
"38","Female","Minority","No","No High School",NA,NA,0,-1.31667494923387,0,-8.80681521602142,0
"39","Female","Majority","No","High School",NA,NA,0,-0.653470679655328,0,-13.5334303038327,0
"40","Female","Majority","No","No High School",NA,NA,0,-0.892882667885359,0,-12.9821129912744,1
"41","Female","Minority","No","High School",NA,NA,0,-0.848960898556065,0,-14.8929928813425,1
"42","Male","Minority","No","High School",NA,NA,1,0.165062079445683,0,-17.0694008474398,0
"43","Male","Majority","No","No High School",NA,NA,0,-0.256903208371152,0,-27.9433819152623,0
"44","Male","Majority","No","Some College",NA,NA,1,0.882105939338084,1,-25.2032347636834,0
"45","Male","Majority","No","High School",NA,NA,1,1.4188037054833,1,-27.9573020054086,0
"46","Female","Majority","No","Master's",NA,NA,1,2.05566157300563,0,-38.0528661869016,0
"47","Male","Minority","No","Bachelor's",NA,NA,1,1.26249871600534,0,-23.5244975568756,0
"48","Male","Minority","No","No High School",NA,NA,0,-0.112367995629542,0,-17.6020730880868,0
"49","Male","Majority","No","No High School",NA,NA,0,-0.664073150933624,1,-20.0641630455484,0
"50","Female","Minority","No","High School",NA,NA,0,-0.616170101903358,0,-12.3637146539756,1
"51","Male","Majority","No","No High School",NA,NA,0,-0.424282275176615,1,-24.5512167488867,1
"52","Male","Majority","No","High School",NA,NA,1,0.228980869466835,1,-29.3043161446051,0
"53","Male","Majority","No","High School",NA,NA,1,0.692533840113527,1,-31.8220563285547,0
"54","Male","Majority","Yes","Some College",NA,NA,1,0.731036359633986,1,-23.1201823607825,1
"55","Female","Minority","No","No High School",NA,NA,0,-0.944569027507753,0,-11.7623526360602,0
"56","Female","Majority","Yes","Some College",NA,NA,0,-0.139574103619376,1,-24.0029561115253,0
