"","gender","ethnicity","disability","education","income","house_ownership","new_var","new_var2","new_var3","new_var4","crime"
"1","Male","Majority","No",NA,NA,NA,1,77.2104461052585,1,1216.40554487882,0
"2","Male","Majority","No","High School",NA,NA,1,20.4509493319944,0,550.74770253458,0
"3","Male","Majority","No","No High School",NA,NA,0,55.7522980137167,1,818.225651125339,0
"4","Female","Minority","No","High School",NA,NA,0,74.0223151284989,1,515.208601459689,0
"5","Female","Majority","No","High School",NA,NA,0,18.5485134916962,0,150.312293603048,0
"6","Male","Majority","No","No High School",NA,NA,0,55.945130070716,1,768.783364266588,0
"7","Male","Majority","No","No High School",NA,NA,0,77.8662936326045,1,806.630569838311,0
"8","Female","Majority","No","Some College",NA,NA,0,16.2457376166742,0,217.422782416278,0
"9","Female","Majority","No","Bachelor's",NA,NA,1,58.3036403841806,0,380.269484699199,0
"10","Male","Majority","No","Some College",NA,NA,1,79.4994844114576,1,1037.94251164399,0
"11","Male","Majority","No","No High School",NA,NA,0,19.9215475942539,1,1114.06117225893,0
"12","Male","Minority","No","High School",NA,NA,1,56.0594866939508,1,834.4166424395,0
"13","Male","Minority","No","No High School",NA,NA,0,76.8083748458946,1,709.484901988661,0
"14","Male","Majority","No","High School",NA,NA,1,21.5388152444713,0,592.279379197036,0
"15","Male","Majority","No","High School",NA,NA,1,53.2536567057769,0,241.504697140262,0
"16","Female","Majority","No","No High School",NA,NA,0,80.2819929149501,1,653.743817967678,0
"17","Male","Minority","No","No High School",NA,NA,0,17.7549623507682,0,204.330402032549,0
"18","Male","Majority","No","High School",NA,NA,1,49.4323863105029,0,280.951940581423,0
"19","Female","Majority","No","Bachelor's",NA,NA,1,83.8051755408861,1,1134.78333905404,0
"20","Male","Majority","No","High School",NA,NA,1,19.7812029037137,0,322.255209432877,0
"21","Male","Minority","No","No High School",NA,NA,0,46.8714049250049,0,147.857330990371,0
"22","Male","Minority","No","No High School",NA,NA,0,73.7029244640899,1,595.329098865851,0
"23","Male","Majority","No","High School",NA,NA,1,17.9241107766484,0,239.033715217331,0
"24","Male","Majority","No","Some College",NA,NA,1,56.1147704649319,0,355.35814089856,0
"25","Female","Minority","No","High School",NA,NA,0,72.6982141430588,0,112.271337139626,0
"26","Female","Minority","No","Some College",NA,NA,0,14.8546431878358,0,386.185515842656,0
"27","Male","Minority","No","High School",NA,NA,0,56.576681858067,1,757.416043450112,0
"28","Female","Minority","No","High School",NA,NA,0,74.8752859110688,1,554.924389910125,0
"29","Female","Minority","No","Some College",NA,NA,0,16.5286421914638,0,188.825015610299,0
"30","Female","Majority","No","Bachelor's",NA,NA,1,63.714228360289,1,1386.04822927101,0
"31","Female","Minority","No","No High School",NA,NA,0,73.401223533514,1,459.533402097662,0
"32","Male","Minority","No","Some College",NA,NA,1,21.7694993357528,0,264.734076773532,0
"33","Female","Majority","No","High School",NA,NA,0,55.5835247731614,1,591.052740700721,0
"34","Male","Majority","No","High School",NA,NA,1,82.1031336820743,1,907.485514309467,0
"35","Female","Minority","No","No High School",NA,NA,0,18.0788478275027,0,84.7905223442406,1
"36","Female","Minority","No","High School",NA,NA,0,55.3768750945717,1,641.821701580353,0
